feature,group,source
btc_return_1d,price,btc
btc_return_5d,price,btc
btc_return_21d,price,btc
btc_volatility_7d,price,btc
btc_volatility_21d,price,btc
btc_ma_gap_7_21,price,btc
btc_price_zscore_21d,price,btc
btc_drawdown_30d,price,btc
btc_rsi_14,price,btc
btc_momentum_10d,price,btc
fear_greed_index,external,alternative_me
fear_greed_change_1d,external,alternative_me
fear_greed_zscore_21d,external,alternative_me
funding_rate_daily,external,binance
funding_rate_mean_7d,external,binance
funding_rate_abs_mean_7d,external,binance
spx_return_1d,external,spx
spx_return_5d,external,spx
vix_level,external,vix
vix_change_1d,external,vix
vix_zscore_21d,external,vix
gold_return_5d,external,gold
gold_btc_ratio,external,gold
usd_index_return_5d,external,usd_index
usd_index_zscore_21d,external,usd_index
active_addresses_change_7d,on_chain,AdrActCnt
active_addresses_zscore_30d,on_chain,AdrActCnt
transaction_count_change_7d,on_chain,TxCnt
hash_rate_change_7d,on_chain,HashRate
hash_rate_zscore_30d,on_chain,HashRate
mvrv_level,on_chain,CapMVRVCur
onchain_roi_30d,on_chain,ROI30d
fee_per_transaction_usd,on_chain,FeeTotNtv
